p_rad,intersection_density,dead_end_density,mean_node_constraint,edge_degree_variance,circuity,orientation_entropy,edge_count
32,47.711903974807775,39.972062544194756,0.4001896862139918,0.21279761904761904,1.060996003775961,2.683362001830711,168
33,64.14364393768562,59.21335343322505,0.4394750254841998,0.33715596330275227,1.1307090275958,2.7430401965100457,109
34,19.757242528451588,19.25715018236253,0.3980694444444444,0.2140625,1.054428404493597,2.762559608170182,160
35,35.55313997789756,43.44103783265198,0.4775828460038986,0.34210526315789475,1.4707855485245411,2.7410708067133083,57
36,45.84525423817791,39.84024169307942,0.6666666666666666,1.0,1.0380288447167223,2.7611272662835904,3
37,20.481842435976645,27.019881442242163,0.4577991452991453,0.38461538461538464,1.0985136826845643,2.437081873671813,104
38,29.410491388915904,37.897469729807824,0.4444444444444444,0.345679012345679,1.0618212881415803,2.6840535407008845,162
39,26.674930743357187,23.295413125189224,0.43438233568075113,0.2147887323943662,1.129039368105808,2.7498913036308026,142
40,33.24355380992358,36.492430604043236,0.4083053959131545,0.25862068965517243,1.0304317793752293,2.7827836255034346,87
41,32.72496014214568,19.88356978375188,1.0,0.0,1.0,2.7282897866819478,1
42,32.554544514552425,40.36661887992733,0.44571635472370763,0.40106951871657753,1.070868000219319,2.121117164863703,187
43,27.554482881892618,34.68322044818379,0.44017094017094016,0.23076923076923078,1.126365000424759,2.1440141312532504,26
44,37.0200181745099,50.07633149633759,0.4467592592592592,0.37768817204301075,1.0427244490431424,2.7208386775740845,186
45,27.394338043324574,18.422250792098154,1.0,0.0,1.0,2.6728141243812713,1
46,21.054217550226532,24.147005465901938,0.4261539001122334,0.3181818181818182,1.0437364586863735,2.475411515291089,99
47,3.495450357567654,1.8612510219997243,0.4408503898635477,0.11842105263157894,1.062089338900214,2.4539637189142747,38
48,70.50176372214024,61.568289836988974,0.3929855303332006,0.23118279569892472,1.0289178085358521,2.7945066102592007,186
49,65.11361103462643,53.882583354842545,0.4029995382521629,0.18503937007874016,1.0215333585921222,2.798734719082694,127
50,30.59757429592555,22.965895318722655,0.4119827835648148,0.3020833333333333,1.1595700690790547,2.619569144894455,96
51,45.30828172759414,40.588105434806074,0.37949676398337107,0.20918367346938777,1.0208147228976219,2.7411101195924052,147
52,63.43770758360723,58.52272443532268,0.4371960589791472,0.2647058823529412,1.1445150760226332,2.7873320958414505,238
53,65.6239185717677,64.96484140115032,0.3994708994708995,0.20238095238095238,1.0816560358071667,2.6617997400300077,42
54,42.819050316887655,35.08232084940362,0.39843663107551996,0.20045045045045046,1.0600703113062595,2.6910059254745393,111
55,40.49330102271204,33.775559531137056,0.40785756501182036,0.19680851063829788,1.2193769314375913,2.6805334802773895,188
56,56.23684917302397,47.56698136163395,0.4765873015873015,0.29642857142857143,1.0826231477672492,2.6969008873662617,70
57,46.32331550860324,40.16358447180816,0.4327846364883402,0.2716049382716049,1.07802301601817,2.695120462284046,81
58,40.37634982893842,34.30689967407679,1.0,0.0,1.0,2.468208923799782,1
59,41.568053023797376,46.52839460946444,1.0,0.0,1.0386420166203785,2.775026829260625,1
60,35.739398068652676,38.457891874263055,1.0,0.0,1.2671613147161374,2.6954594979235216,1
61,40.86320007710371,45.63835942852201,1.0,0.0,1.0099478972840583,2.1627044057985985,1
62,22.52931910513927,19.843374417576005,1.0,0.0,1.0725142102314082,2.7251767775867726,1
63,20.55690903100272,14.744439830092787,0.43391568960479215,0.3431952662721893,1.0705218114972292,2.621171273601144,169
64,22.643787665051242,19.35535102585201,0.3389793243063852,0.08064516129032258,1.0049262064453643,2.5961139069829273,93
65,50.03125687041436,41.65767396354515,1.0,0.0,1.0,2.675704071350395,1
66,8.928057734929427,8.508625171351492,0.6666666666666666,1.0,1.4535005563969463,2.787035802518247,3
67,27.971727133213506,42.71994490200978,1.0,0.0,1.0000314753253534,2.7313695298717704,1
68,34.99371528235397,44.46012640012014,1.0,0.0,1.118115726412282,2.759094000427998,1
69,22.99569409122369,38.39245812167384,1.0,0.0,1.0,2.7434815985792262,1
70,25.982445296330017,43.53399039311638,1.0,0.0,1.009318463546898,2.70828717731166,1
71,20.271821517098395,33.10160333750979,1.0,0.0,1.3681309129421992,2.751431175545034,1
72,22.286471609116887,36.08592734457241,0.6666666666666666,1.0,1.0576662566780763,2.7333380397105795,3
73,18.566204772787227,31.68626769749577,0.6666666666666666,1.0,1.0333153997371312,2.75321650673081,3
74,17.811174527604507,31.318114470818433,1.0,0.0,1.1487171919528418,2.7549188802713958,1
75,15.180539550668819,28.778936104505533,0.6666666666666666,1.0,1.016778399630242,2.7028352443935533,3
76,18.136414104702748,31.249085223317312,1.0,0.0,1.0,2.6542811347411033,1
77,11.0534346230176,20.974511329039103,0.6666666666666666,1.0,1.1291415464452361,2.2835618505987436,3
78,16.937368644055784,26.322545368382336,1.0,0.0,2.6661429732595714,2.1484859544929904,1
79,9.857821980614844,11.272808396968669,1.0,0.0,1.0,2.491386529551612,1
